,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
542,2020-12-22,152.3999939,153.8999939,151.8600006,152.7200012,145.1521301,4699500,4699500,-7.24786,-4.756,150.30404,"December 22, 20",-0.04756
543,2020-12-21,152.0099945,153.4100037,150.0500031,153.0200043,145.4372864,7893400,7893400,-6.57271,-4.324,149.63243,"December 21, 20",-0.04324
544,2020-12-18,153.6499939,155.1000061,151.6699982,154.5099945,146.8534088,17137200,17137200,-6.79659,-4.423,151.2078,"December 18, 20",-0.04423
545,2020-12-17,150.0899963,153.8899994,149.9600067,153.6199951,146.0075226,9920300,9920300,-4.08247,-2.72,149.95251,"December 17, 20",-0.0272
546,2020-12-16,150.1999969,150.9199982,149.5500031,149.6699982,142.2532806,8486100,8486100,-7.94672,-5.291,147.57443,"December 16, 20",-0.05291
547,2020-12-15,150.0,150.75,149.5299988,150.5700073,143.1086731,7612600,7612600,-6.89133,-4.594,147.79622,"December 15, 20",-0.04594
548,2020-12-14,153.25,153.4799957,148.9900055,149.0700073,141.6830139,8547300,8547300,-11.56699,-7.548,148.05101,"December 14, 20",-0.07548
549,2020-12-11,151.5299988,153.4100037,151.2299957,152.9499969,145.3707275,5977400,5977400,-6.15927,-4.065,150.00358,"December 11, 20",-0.04065
550,2020-12-10,152.8200073,152.9799957,151.6799927,152.25,144.7054291,7392900,7392900,-8.11458,-5.31,149.78847,"December 10, 20",-0.0531
551,2020-12-09,152.8300018,153.5,151.7599945,153.1000061,145.5133057,8440100,8440100,-7.3167,-4.787,150.25777,"December 09, 20",-0.04787
552,2020-12-08,150.0,152.1399994,149.5500031,151.5500031,144.0401001,8339800,8339800,-5.9599,-3.973,148.5767,"December 08, 20",-0.03973
553,2020-12-07,149.3500061,149.9100037,148.5099945,148.9700012,141.5879822,6634700,6634700,-7.76202,-5.197,146.66933,"December 07, 20",-0.05197
554,2020-12-04,149.7899933,150.3099976,149.2700043,150.2700043,142.8235474,6747100,6747100,-6.96645,-4.651,147.46785,"December 04, 20",-0.04651
555,2020-12-03,148.0399933,149.5800018,147.6900024,149.0,141.6164551,7310500,7310500,-6.42354,-4.339,146.29549,"December 03, 20",-0.04339
556,2020-12-02,147.8500061,149.7100067,147.6999969,148.1399994,140.7990723,7745500,7745500,-7.05093,-4.769,146.06969,"December 02, 20",-0.04769
557,2020-12-01,146.2899933,149.1300049,145.8600006,147.4499969,140.1432953,9738200,9738200,-6.1467,-4.202,145.04443,"December 01, 20",-0.04202
558,2020-11-30,144.2299957,144.8600006,143.0599976,144.6799927,137.5105286,15663200,15663200,-6.71947,-4.659,141.81018,"November 30, 20",-0.04659
559,2020-11-27,144.5,144.6600037,143.2200012,144.0,136.8642578,3059000,3059000,-7.63574,-5.284,141.58142,"November 27, 20",-0.05284
560,2020-11-25,144.0599976,144.1699982,142.8600006,143.6799927,136.5600891,7594600,7594600,-7.49991,-5.206,141.1967,"November 25, 20",-0.05206
561,2020-11-24,144.0,144.7599945,143.6100006,143.8699951,136.7406616,11034800,11034800,-7.25934,-5.041,141.70355,"November 24, 20",-0.05041
562,2020-11-23,146.0099945,146.0099945,143.0399933,143.8699951,136.7406616,7318300,7318300,-9.26933,-6.348,141.93022,"November 23, 20",-0.06348
563,2020-11-20,147.0500031,147.9400024,146.1300049,146.3600006,138.1473389,6354900,6354900,-8.90266,-6.054,144.07245,"November 20, 20",-0.06054
